idade,tipo de emprego,estado civil,educação,inadimplência,saldo (em euros),habitação,empréstimo,contato,dia,mês,duração (em segundos),campanha,pdias,anterior,presultado,y
54,técnico,divorciado,secundário,não,784,sim,sim,desconhecido,15,maio,579,1,-1,0,desconhecido,não
41,operário,casado,primario,não,-516,não,sim,telefone,8,julho,554,3,-1,0,desconhecido,não
63,aposentado,casado,secundário,não,415,sim,não,celular,7,outubro,323,1,-1,0,desconhecido,não
48,gerente,casado,terciário,não,5887,não,não,celular,13,agosto,227,2,-1,0,desconhecido,não
48,serviços gerais,casado,secundário,não,1355,não,não,celular,4,julho,134,2,-1,0,desconhecido,não
56,administrador,casado,secundário,não,16873,não,não,celular,7,outubro,223,1,-1,0,desconhecido,não
51,operário,divorciado,secundário,não,203,sim,não,celular,8,maio,134,1,170,5,falha,não
31,serviços gerais,casado,secundário,não,338,sim,não,celular,28,janeiro,155,1,-1,0,desconhecido,não
29,técnico,casado,secundário,não,444,sim,não,celular,21,julho,130,4,-1,0,desconhecido,não
41,gerente,casado,secundário,não,0,não,sim,celular,7,julho,630,3,-1,0,desconhecido,não
32,técnico,solteiro,terciário,não,360,não,não,celular,19,novembro,164,2,-1,0,desconhecido,não
37,gerente,casado,terciário,não,0,não,não,celular,16,julho,268,2,182,3,sucesso,sim
42,empresário,divorciado,terciário,sim,2,sim,não,desconhecido,5,maio,380,1,-1,0,desconhecido,não
31,gerente,solteiro,terciário,não,6248,sim,não,desconhecido,9,maio,154,2,-1,0,desconhecido,não
41,serviços gerais,casado,terciário,não,412,sim,não,desconhecido,3,junho,154,5,-1,0,desconhecido,não
56,aposentado,casado,secundário,não,344,sim,não,desconhecido,15,maio,221,1,-1,0,desconhecido,não
54,gerente,divorciado,terciário,não,3222,não,não,celular,14,agosto,67,2,-1,0,desconhecido,não
41,operário,divorciado,secundário,não,174,sim,não,celular,14,maio,367,2,297,1,outro,não
40,técnico,solteiro,secundário,não,591,não,sim,celular,14,agosto,87,6,-1,0,desconhecido,não
50,operário,divorciado,primario,não,388,não,não,celular,5,fevereiro,701,1,-1,0,desconhecido,não
40,desempregado,casado,secundário,não,219,sim,não,celular,17,novembro,204,2,196,1,falha,não
27,administrador,divorciado,secundário,não,451,sim,não,celular,16,julho,652,1,-1,0,desconhecido,sim
60,aposentado,casado,primario,não,5,não,não,celular,26,agosto,63,2,-1,0,desconhecido,não
28,administrador,solteiro,secundário,não,177,sim,sim,celular,6,maio,150,1,-1,0,desconhecido,não
52,serviços gerais,casado,secundário,não,657,não,não,telefone,7,julho,398,2,460,2,falha,sim
37,gerente,casado,terciário,não,1315,não,não,celular,30,junho,224,1,-1,0,desconhecido,sim
51,operário,casado,primario,não,1466,sim,não,desconhecido,7,maio,406,2,-1,0,desconhecido,não
41,técnico,solteiro,secundário,não,879,não,sim,celular,7,julho,60,4,-1,0,desconhecido,não
35,operário,solteiro,primario,não,293,sim,não,desconhecido,30,maio,521,2,-1,0,desconhecido,não
38,administrador,casado,secundário,não,424,sim,não,celular,17,abril,279,1,-1,0,desconhecido,não
34,operário,casado,secundário,não,1831,sim,não,desconhecido,20,maio,203,2,-1,0,desconhecido,não
39,operário,casado,primario,não,111,não,não,celular,18,novembro,201,2,-1,0,desconhecido,não
34,operário,casado,primario,não,455,sim,não,desconhecido,20,junho,372,3,-1,0,desconhecido,não
27,serviços gerais,solteiro,secundário,não,-195,sim,não,celular,18,maio,391,1,-1,0,desconhecido,sim
32,gerente,solteiro,terciário,não,3616,não,não,celular,14,agosto,165,2,-1,0,desconhecido,não
57,operário,casado,secundário,não,14093,não,não,celular,11,agosto,231,5,-1,0,desconhecido,não
41,desconhecido,solteiro,terciário,não,1567,não,não,celular,1,julho,291,2,-1,0,desconhecido,não
41,administrador,casado,terciário,não,5426,sim,não,desconhecido,14,maio,149,2,-1,0,desconhecido,não
30,administrador,solteiro,terciário,não,261,não,não,celular,19,outubro,233,1,137,20,falha,não
36,operário,divorciado,secundário,não,2843,não,não,celular,12,fevereiro,473,1,182,1,sucesso,não
31,desempregado,solteiro,primario,não,406,não,não,celular,4,fevereiro,736,1,-1,0,desconhecido,sim
36,operário,casado,secundário,não,0,sim,não,desconhecido,6,maio,337,1,-1,0,desconhecido,não
38,gerente,solteiro,terciário,não,493,sim,não,celular,11,maio,553,1,367,7,falha,não
49,técnico,casado,secundário,não,5996,não,não,telefone,21,novembro,345,2,-1,0,desconhecido,não
57,serviços gerais,solteiro,primario,não,3777,sim,não,telefone,13,maio,65,2,-1,0,desconhecido,não
34,gerente,solteiro,secundário,não,524,não,não,desconhecido,13,agosto,9,1,-1,0,desconhecido,não
32,gerente,solteiro,terciário,não,574,sim,não,celular,14,abril,259,2,145,3,falha,não
37,operário,casado,secundário,não,427,sim,sim,desconhecido,9,junho,371,3,-1,0,desconhecido,não
33,autônomo,casado,terciário,não,483,sim,não,celular,3,fevereiro,280,2,-1,0,desconhecido,não
56,desempregado,casado,primario,não,3391,não,não,celular,21,abril,243,1,-1,0,desconhecido,sim
27,empregada doméstica,casado,primario,não,0,sim,não,celular,23,julho,435,3,-1,0,desconhecido,não
21,estudante,solteiro,secundário,não,2488,não,não,celular,30,junho,258,6,169,3,sucesso,sim
58,gerente,casado,terciário,não,1517,sim,não,telefone,29,julho,7,5,-1,0,desconhecido,não
32,autônomo,casado,secundário,não,217,sim,sim,celular,15,julho,317,5,-1,0,desconhecido,não
33,operário,solteiro,secundário,não,22,não,não,celular,30,janeiro,76,2,207,1,falha,não
25,estudante,solteiro,secundário,não,331,não,não,telefone,26,agosto,170,4,-1,0,desconhecido,sim
25,técnico,solteiro,secundário,não,505,não,sim,celular,17,novembro,386,2,-1,0,desconhecido,sim
30,serviços gerais,casado,secundário,não,1808,sim,não,celular,18,maio,83,2,-1,0,desconhecido,não
22,administrador,solteiro,secundário,não,4111,não,sim,celular,19,agosto,65,1,-1,0,desconhecido,não
39,operário,casado,primario,não,52,não,não,celular,13,agosto,69,1,-1,0,desconhecido,não
46,gerente,divorciado,terciário,não,25,não,não,desconhecido,17,junho,564,2,-1,0,desconhecido,não
31,administrador,divorciado,secundário,não,1890,sim,não,celular,21,julho,588,1,-1,0,desconhecido,não
45,operário,casado,primario,não,419,não,não,celular,18,agosto,113,4,-1,0,desconhecido,não
32,técnico,casado,secundário,não,2693,sim,não,desconhecido,21,maio,16,1,-1,0,desconhecido,não
36,operário,casado,secundário,não,-231,não,sim,celular,15,julho,779,2,-1,0,desconhecido,não
51,gerente,solteiro,terciário,sim,-55,sim,não,celular,11,maio,281,2,266,6,falha,não
34,autônomo,solteiro,terciário,não,462,não,não,celular,21,agosto,1877,3,-1,0,desconhecido,sim
24,desempregado,solteiro,secundário,não,119,não,não,desconhecido,15,setembro,51,1,-1,0,desconhecido,não
45,técnico,solteiro,secundário,não,586,não,sim,celular,28,julho,32,3,-1,0,desconhecido,não
32,operário,solteiro,secundário,não,228,não,não,telefone,5,fevereiro,176,1,288,3,falha,não
77,aposentado,divorciado,terciário,não,4659,não,não,celular,14,abril,161,1,-1,0,desconhecido,sim
41,operário,casado,primario,não,168,sim,não,celular,18,novembro,187,3,-1,0,desconhecido,não
37,operário,casado,primario,não,0,sim,não,desconhecido,26,maio,24,1,-1,0,desconhecido,não
43,operário,casado,desconhecido,sim,-715,sim,não,desconhecido,30,maio,67,3,-1,0,desconhecido,não
48,administrador,casado,desconhecido,não,0,sim,não,celular,8,maio,85,1,168,2,falha,não
27,técnico,solteiro,secundário,não,769,sim,não,desconhecido,9,maio,317,2,-1,0,desconhecido,não
33,gerente,solteiro,terciário,não,0,não,não,celular,28,agosto,236,10,-1,0,desconhecido,não
29,administrador,solteiro,secundário,não,428,sim,sim,celular,7,maio,54,1,345,2,falha,não
34,gerente,solteiro,terciário,não,0,não,não,celular,5,fevereiro,71,1,-1,0,desconhecido,não
52,gerente,casado,terciário,não,-970,sim,não,celular,4,fevereiro,489,1,-1,0,desconhecido,sim
60,gerente,casado,desconhecido,não,6313,não,não,desconhecido,19,junho,39,2,-1,0,desconhecido,não
32,gerente,divorciado,terciário,não,948,não,não,celular,12,agosto,204,2,-1,0,desconhecido,não
32,gerente,solteiro,terciário,não,0,sim,não,celular,22,julho,455,2,-1,0,desconhecido,não
56,serviços gerais,divorciado,desconhecido,não,1877,sim,não,desconhecido,30,maio,86,1,-1,0,desconhecido,não
31,gerente,solteiro,terciário,não,874,sim,não,celular,18,novembro,190,2,-1,0,desconhecido,não
42,administrador,casado,secundário,não,323,sim,sim,desconhecido,8,maio,280,2,-1,0,desconhecido,não
35,gerente,casado,terciário,não,106,não,sim,celular,11,agosto,588,2,-1,0,desconhecido,não
56,aposentado,casado,primario,não,1906,não,sim,desconhecido,19,junho,45,9,-1,0,desconhecido,não
48,técnico,casado,secundário,não,1152,sim,não,celular,21,julho,168,5,-1,0,desconhecido,não
46,administrador,casado,secundário,não,179,sim,não,celular,29,janeiro,194,4,436,1,outro,não
37,técnico,solteiro,desconhecido,não,391,sim,não,desconhecido,8,maio,103,3,-1,0,desconhecido,não
41,empresário,casado,desconhecido,não,89,sim,não,desconhecido,6,maio,333,2,-1,0,desconhecido,não
36,gerente,solteiro,terciário,não,442,sim,sim,celular,29,julho,102,3,-1,0,desconhecido,não
45,desempregado,divorciado,primario,sim,-249,sim,sim,desconhecido,1,julho,92,1,-1,0,desconhecido,não
55,empresário,casado,secundário,não,8104,não,não,celular,6,fevereiro,213,2,-1,0,desconhecido,não
39,técnico,casado,secundário,não,501,não,não,desconhecido,26,maio,289,1,-1,0,desconhecido,não
35,técnico,divorciado,secundário,não,308,não,não,celular,22,agosto,77,2,-1,0,desconhecido,não
55,administrador,casado,secundário,não,602,não,não,celular,1,junho,324,3,90,2,sucesso,sim
55,técnico,casado,secundário,não,273,sim,não,celular,29,janeiro,84,3,183,3,falha,não
27,autônomo,solteiro,secundário,não,50,não,não,celular,29,janeiro,168,1,-1,0,desconhecido,não
34,técnico,casado,secundário,não,1641,sim,não,celular,17,abril,380,1,-1,0,desconhecido,não
34,operário,casado,terciário,não,20,não,não,desconhecido,4,outubro,10,1,-1,0,desconhecido,não
25,administrador,solteiro,secundário,não,4590,sim,não,desconhecido,28,maio,199,2,-1,0,desconhecido,não
41,administrador,solteiro,secundário,não,-256,não,sim,desconhecido,9,maio,35,3,-1,0,desconhecido,não
43,serviços gerais,casado,secundário,não,978,sim,sim,desconhecido,26,maio,82,2,-1,0,desconhecido,não
28,gerente,solteiro,terciário,não,80,não,não,celular,20,outubro,676,2,146,2,falha,sim
31,administrador,solteiro,secundário,não,2104,sim,não,desconhecido,3,junho,455,1,-1,0,desconhecido,não
78,empregada doméstica,casado,secundário,não,499,não,não,telefone,16,março,80,4,-1,0,desconhecido,não
45,operário,divorciado,secundário,não,1269,sim,não,celular,29,janeiro,549,2,-1,0,desconhecido,não
48,técnico,casado,terciário,não,310,não,não,desconhecido,6,maio,135,1,-1,0,desconhecido,não
32,operário,solteiro,secundário,não,1143,sim,sim,celular,10,julho,412,1,-1,0,desconhecido,não
42,técnico,casado,secundário,não,2980,não,não,desconhecido,20,junho,101,3,-1,0,desconhecido,não
37,gerente,solteiro,terciário,não,37,não,não,celular,28,janeiro,253,2,-1,0,desconhecido,não
40,administrador,solteiro,secundário,não,462,sim,sim,celular,6,abril,272,1,335,4,outro,não
32,administrador,casado,secundário,não,1031,sim,não,celular,17,julho,84,1,-1,0,desconhecido,não
42,gerente,casado,terciário,não,9009,não,não,celular,20,novembro,135,2,-1,0,desconhecido,não
43,administrador,casado,secundário,não,-465,sim,sim,celular,23,julho,166,1,-1,0,desconhecido,não
44,administrador,casado,secundário,não,5181,sim,sim,celular,31,julho,18,7,-1,0,desconhecido,não
37,administrador,casado,secundário,não,176,sim,não,celular,5,maio,147,2,347,1,falha,não
37,desconhecido,casado,desconhecido,não,1699,não,não,desconhecido,9,junho,63,1,-1,0,desconhecido,não
37,administrador,casado,terciário,não,0,sim,não,celular,17,novembro,65,2,119,1,falha,não
28,técnico,solteiro,terciário,não,172,sim,sim,celular,2,fevereiro,194,2,-1,0,desconhecido,não
32,serviços gerais,solteiro,secundário,não,0,não,sim,celular,11,julho,333,2,-1,0,desconhecido,não
34,administrador,solteiro,secundário,não,6979,sim,não,celular,15,maio,14,5,-1,0,desconhecido,não
40,administrador,divorciado,secundário,não,6,não,não,desconhecido,11,junho,140,1,-1,0,desconhecido,não
34,serviços gerais,casado,secundário,não,-62,sim,não,desconhecido,16,junho,109,3,-1,0,desconhecido,não
34,autônomo,casado,terciário,não,1972,sim,não,celular,23,julho,61,2,-1,0,desconhecido,não
34,administrador,casado,terciário,não,899,sim,não,telefone,19,novembro,377,3,7,4,sucesso,não
37,serviços gerais,solteiro,secundário,não,21,sim,não,celular,2,fevereiro,96,1,271,2,outro,não
36,técnico,casado,secundário,não,23,sim,não,celular,8,maio,152,2,347,1,falha,não
56,aposentado,casado,secundário,não,-1206,sim,não,celular,15,junho,382,2,-1,0,desconhecido,sim
49,operário,casado,primario,não,0,sim,sim,telefone,23,julho,97,6,-1,0,desconhecido,não
33,autônomo,casado,secundário,não,215,sim,não,celular,29,julho,543,12,-1,0,desconhecido,não
30,gerente,solteiro,terciário,não,1372,não,não,celular,20,novembro,240,2,-1,0,desconhecido,não
36,serviços gerais,casado,secundário,não,1981,não,não,desconhecido,17,junho,48,2,-1,0,desconhecido,não
23,estudante,solteiro,secundário,não,9216,não,não,celular,5,junho,471,2,-1,0,desconhecido,não
57,aposentado,divorciado,secundário,não,39,sim,não,celular,30,julho,354,3,-1,0,desconhecido,não
27,operário,solteiro,secundário,não,5563,sim,não,desconhecido,30,maio,435,2,-1,0,desconhecido,não
38,serviços gerais,casado,secundário,não,1,não,sim,celular,21,novembro,152,2,-1,0,desconhecido,não
42,técnico,casado,terciário,não,782,não,não,celular,3,abril,285,1,-1,0,desconhecido,não
75,aposentado,casado,secundário,não,3771,não,não,telefone,15,abril,185,1,181,2,sucesso,sim
34,técnico,solteiro,terciário,não,992,sim,não,celular,4,maio,301,1,88,2,sucesso,não
48,técnico,casado,secundário,não,1526,não,não,celular,6,agosto,273,2,-1,0,desconhecido,não
35,técnico,solteiro,terciário,não,2658,sim,não,celular,19,agosto,768,2,141,3,falha,sim
39,gerente,divorciado,terciário,não,1315,sim,não,celular,19,novembro,1337,4,126,1,falha,não
29,operário,solteiro,terciário,não,455,não,não,telefone,21,abril,403,1,-1,0,desconhecido,sim
45,técnico,solteiro,terciário,não,0,sim,não,celular,18,novembro,139,2,-1,0,desconhecido,não
42,técnico,casado,secundário,não,2030,sim,sim,celular,9,julho,196,1,-1,0,desconhecido,não
29,técnico,casado,secundário,não,1599,sim,não,celular,8,julho,115,1,61,1,falha,não
38,serviços gerais,solteiro,secundário,não,-196,sim,não,celular,2,fevereiro,60,1,271,1,falha,não
56,aposentado,casado,secundário,não,1333,não,não,celular,28,agosto,17,14,-1,0,desconhecido,não
36,técnico,solteiro,secundário,não,9149,sim,não,celular,13,agosto,141,3,-1,0,desconhecido,não
25,operário,solteiro,secundário,não,-350,sim,não,desconhecido,23,junho,95,3,-1,0,desconhecido,não
38,técnico,casado,terciário,não,432,sim,não,celular,15,maio,10,2,373,1,outro,não
57,autônomo,casado,secundário,não,11494,não,não,celular,19,novembro,198,1,-1,0,desconhecido,não
31,gerente,casado,terciário,sim,-253,não,não,celular,12,agosto,220,4,-1,0,desconhecido,não
42,gerente,casado,terciário,não,372,sim,não,celular,3,agosto,654,2,-1,0,desconhecido,sim
45,técnico,casado,secundário,não,1410,não,não,celular,11,agosto,71,2,-1,0,desconhecido,não
30,operário,casado,secundário,não,975,sim,não,celular,13,maio,256,2,351,2,falha,não
49,operário,casado,primario,não,305,sim,sim,telefone,10,julho,834,10,-1,0,desconhecido,não
49,serviços gerais,casado,secundário,não,400,não,não,celular,21,agosto,151,3,-1,0,desconhecido,não
53,aposentado,casado,terciário,não,-22,sim,não,celular,31,julho,20,3,-1,0,desconhecido,não
37,técnico,casado,secundário,não,4030,sim,não,desconhecido,26,maio,178,5,-1,0,desconhecido,não
49,operário,casado,primario,não,365,não,não,desconhecido,26,maio,59,2,-1,0,desconhecido,não
41,autônomo,casado,primario,não,204,não,não,celular,13,agosto,111,7,-1,0,desconhecido,não
54,gerente,casado,primario,não,1691,sim,não,celular,20,novembro,186,1,-1,0,desconhecido,não
32,serviços gerais,solteiro,secundário,não,406,sim,não,desconhecido,6,maio,227,1,-1,0,desconhecido,não
33,técnico,casado,secundário,não,-204,não,não,celular,15,maio,297,3,-1,0,desconhecido,não
33,técnico,casado,secundário,não,359,sim,não,celular,20,abril,210,1,242,1,outro,não
36,operário,casado,primario,não,123,sim,não,celular,18,maio,9,1,-1,0,desconhecido,não
35,técnico,casado,terciário,não,0,sim,sim,celular,23,setembro,112,1,62,6,outro,não
52,desconhecido,casado,secundário,não,142,não,não,celular,25,agosto,112,6,-1,0,desconhecido,não
40,empresário,casado,terciário,não,3571,não,não,desconhecido,9,junho,222,3,-1,0,desconhecido,não
44,técnico,solteiro,secundário,não,33,sim,não,celular,13,maio,195,3,351,10,falha,não
45,operário,solteiro,secundário,não,0,sim,não,celular,26,julho,768,2,91,5,sucesso,não
30,estudante,solteiro,secundário,não,3096,não,não,celular,26,janeiro,123,1,-1,0,desconhecido,não
48,técnico,divorciado,secundário,sim,20,não,não,celular,27,agosto,145,3,-1,0,desconhecido,não
33,operário,casado,secundário,não,3576,sim,não,celular,2,abril,124,1,308,2,outro,não
57,técnico,casado,desconhecido,não,206,sim,não,desconhecido,5,maio,216,3,-1,0,desconhecido,não
57,empregada doméstica,casado,primario,não,7082,não,não,desconhecido,6,junho,69,3,-1,0,desconhecido,não
51,desempregado,casado,terciário,não,1634,sim,não,celular,22,julho,168,4,-1,0,desconhecido,não
34,administrador,solteiro,secundário,não,1,sim,não,celular,22,julho,483,7,-1,0,desconhecido,não
50,autônomo,casado,terciário,não,4012,não,não,celular,19,novembro,690,3,-1,0,desconhecido,não
44,gerente,casado,terciário,não,3762,não,não,celular,28,agosto,125,12,-1,0,desconhecido,não
27,administrador,casado,secundário,não,-247,sim,sim,desconhecido,4,junho,344,2,-1,0,desconhecido,não
50,operário,casado,secundário,não,606,sim,não,desconhecido,14,maio,673,2,-1,0,desconhecido,não
36,gerente,casado,terciário,não,0,sim,não,celular,28,janeiro,60,1,250,1,outro,não
42,gerente,casado,secundário,não,-189,sim,não,desconhecido,12,maio,247,2,-1,0,desconhecido,não
32,desempregado,solteiro,secundário,não,0,não,não,celular,27,maio,123,2,-1,0,desconhecido,não
42,gerente,casado,terciário,não,484,sim,não,celular,11,julho,144,2,-1,0,desconhecido,não
43,técnico,casado,secundário,não,0,não,sim,celular,8,maio,9,2,172,5,falha,não
31,gerente,casado,terciário,não,395,sim,não,celular,9,fevereiro,155,3,-1,0,desconhecido,não
32,gerente,casado,terciário,não,2349,não,não,celular,14,agosto,134,5,-1,0,desconhecido,não
55,operário,divorciado,primario,não,410,não,sim,celular,11,julho,221,2,-1,0,desconhecido,não
58,aposentado,casado,primario,não,3401,sim,não,celular,3,fevereiro,84,3,265,2,falha,não
46,operário,casado,primario,não,222,não,não,celular,8,agosto,71,2,-1,0,desconhecido,não
55,operário,casado,secundário,não,989,sim,sim,desconhecido,23,maio,246,4,-1,0,desconhecido,não
34,gerente,casado,terciário,não,415,não,sim,celular,23,julho,361,2,-1,0,desconhecido,não
28,desempregado,solteiro,secundário,não,16,não,não,celular,12,agosto,119,4,-1,0,desconhecido,não
42,técnico,divorciado,terciário,não,7190,sim,não,celular,29,julho,375,2,-1,0,desconhecido,não
29,operário,solteiro,secundário,não,482,não,sim,celular,10,julho,1097,3,-1,0,desconhecido,sim
54,empregada doméstica,casado,secundário,não,209,sim,sim,celular,25,julho,97,1,-1,0,desconhecido,não
32,técnico,solteiro,secundário,não,0,não,não,celular,26,agosto,181,2,-1,0,desconhecido,não
39,técnico,solteiro,terciário,não,5803,não,não,celular,2,fevereiro,83,3,-1,0,desconhecido,não
53,empresário,casado,terciário,não,624,não,sim,celular,21,julho,180,4,-1,0,desconhecido,não
58,técnico,casado,terciário,não,883,não,não,celular,18,agosto,543,1,78,2,falha,não
40,autônomo,casado,secundário,não,1516,sim,sim,desconhecido,23,maio,373,1,-1,0,desconhecido,não
29,estudante,solteiro,secundário,não,872,sim,não,desconhecido,7,maio,230,1,-1,0,desconhecido,não
33,técnico,casado,terciário,não,-988,sim,sim,celular,15,julho,83,3,-1,0,desconhecido,não
38,administrador,solteiro,secundário,não,902,sim,não,telefone,31,julho,58,13,-1,0,desconhecido,não
56,serviços gerais,divorciado,secundário,não,1007,não,não,celular,29,julho,88,6,-1,0,desconhecido,não
40,serviços gerais,casado,secundário,não,0,sim,não,celular,2,junho,297,1,28,3,falha,não
24,operário,solteiro,secundário,não,174,sim,sim,celular,18,maio,487,1,-1,0,desconhecido,sim
46,gerente,casado,secundário,não,12186,não,não,desconhecido,20,junho,29,3,-1,0,desconhecido,não
35,autônomo,casado,secundário,não,524,sim,não,celular,21,novembro,484,4,-1,0,desconhecido,não
35,operário,solteiro,terciário,não,0,sim,não,celular,21,julho,262,4,-1,0,desconhecido,não
34,técnico,casado,secundário,não,4,sim,não,desconhecido,15,maio,644,1,-1,0,desconhecido,não
35,empregada doméstica,casado,terciário,não,11219,não,não,celular,12,agosto,699,2,79,1,falha,não
38,técnico,solteiro,terciário,não,0,não,não,celular,28,agosto,247,2,-1,0,desconhecido,não
50,operário,casado,primario,não,5776,não,não,celular,18,novembro,49,3,-1,0,desconhecido,não
51,operário,divorciado,primario,não,37,sim,não,celular,13,maio,341,1,-1,0,desconhecido,não
59,autônomo,casado,terciário,não,593,não,não,desconhecido,13,maio,64,2,-1,0,desconhecido,não
32,operário,casado,secundário,não,1148,sim,não,celular,20,abril,121,1,-1,0,desconhecido,não
